central_M2,central_M3sm,family_a_W5_M2,family_a_W5_M3sm,family_a_W7_M2,family_a_W7_M3sm,sequence,n_frames
0.31782604809604836,0.052993231818830346,0.2913942691241664,0.025547644882886977,0.2943621940418285,0.021969985230019456,7dbc2eac-5871-3480-b322-246e03d954d2,160
,0.0782463691280539,,0.028617655490059492,,0.02184519926913612,7de2e535-81df-3d5f-a5ca-62e4b940eb54,160
0.09536447096481723,0.03548165940520239,0.093400426646968,0.010502104687518703,0.09224156688709834,0.0086428053840877,7e4d67b3-c3cc-3288-afe5-043602ea3c70,160
0.20761144815029214,0.059595018745652734,0.2049274316192236,0.025025145836933,0.2063405971615346,0.01891630089501294,7fab2350-7eaf-3b7e-a39d-6937a4c1bede,160
,0.07580150547734732,,0.02603874000253463,,0.022244825019754794,858d739b-a0ba-35aa-bafc-4f7988bcad17,160
,0.05482001221269799,,0.012299940700876408,,0.007808225596087527,8749f79f-a30b-3c3f-8a44-dbfa682bbef1,160
0.09404394297879022,0.04995053131718956,0.0650862655770111,0.016586054959522853,0.06308483373249522,0.011650017891569374,87ca3d9f-f317-3efb-b1cb-aaaf525227e5,160
0.07463378992787183,0.044627321834402434,0.07252377778944631,0.01718301249564674,0.0721646292629124,0.012162861302106465,88f47a10-87b4-3ea8-a0c7-a07d825b647d,160
0.41367607820730873,0.062384006171400455,0.3814844061160143,0.0145587225949364,0.40531609209770764,0.007593115867446102,91aab547-1912-3b8e-8e7f-df3b202147bf,160
,0.06683529906779967,,0.024064417122477366,,0.017130128674347253,92b900b1-ac4a-3d41-b118-e42c66382c91,160
0.17152117393346983,0.05326908392352381,0.17042571284846403,0.021112530829156297,0.1707230651923648,0.01694997646379254,95bf6003-7068-3a78-a0c0-9e470a06e60f,160
0.14379212187122586,0.07148486554538218,0.1453657390523652,0.023836246196139128,0.1469997582152757,0.01787613001412691,96dd6923-994c-3afe-9830-b15bdfd60f64,160
,0.07445298552350524,,0.029108294065565678,,0.021743314908168422,9a448a80-0e9a-3bf0-90f3-21750dfef55a,160
0.21937733340820958,0.07835769865518609,0.2189138690303793,0.021093722661672098,0.24736626067370035,0.013189571548566434,9bb1f857-8b61-369f-a537-484c1323ae32,160
,0.0957073225799646,,0.021840456018503557,,0.015659164463780243,9e9bcfb7-601d-3d80-bc12-ef7025174beb,160
0.06840098207811736,0.027139963818103543,0.0695088711368346,0.00642426212740858,0.06949038356242711,0.005145140895237703,9f871fb4-3b8e-34b3-9161-ed961e71a6da,160
,0.048391093344658326,,0.009924613764260834,,0.0057326781423706,a060c4c1-b9fc-39c1-9d30-d93a124c9066,160
,0.06709452583574668,,0.019814502871735938,,0.010729255960622906,a1589ae2-2678-310e-91cc-c4b512cd7fa5,160
,0.08296596987412365,,0.01988198583231982,,0.012789845350203792,a33a44fb-6008-3dc2-b7c5-2d27b70741e8,160
,0.06577646022726076,,0.02053074443819622,,0.017079851136503843,a7636fca-4d9e-3052-bef2-af0ce5d1df74,160
0.22989797712820423,0.05824469744203603,0.22956727892604264,0.015897543915249647,0.24510255466539566,0.010031274648873515,a91d4c7b-bf55-3a0e-9eba-1a43577bcca8,160
0.1833355973213602,0.05696633976159731,0.18179167323174114,0.029382076476606164,0.18023782924756784,0.022664937632582025,adf9a841-e0db-30ab-b5b3-bf0b61658e1e,160
0.10394287891216707,0.05019380736506295,0.10481301787252126,0.013014468119337212,0.12130722152744527,0.006772773668188893,b19f3c1a-a84a-3a2d-8d1b-8a4ae201020b,160
,0.0857808012447905,,0.019277447568615658,,0.010424253157317084,b2053fdc-0b94-30bc-aee7-5bc6fb7e9f52,160
,0.07084246411519285,,0.017032138178385583,,0.010776296802042716,b213af37-7d89-342d-ae39-8a3c72159a01,160
0.07782166235215081,0.07522106490066928,0.07339989785766067,0.02485984009811924,0.07326463426164846,0.015159509760223577,b50c4763-5d1e-37f4-a009-2244aeebabcd,160
