scenario,fs,noise_sigma,jitter_sigma,seed,method,rmse,bias,n
circle_r15_v5,2.0,0.05,0.0,1,forward,0.12234206311927165,-0.004905500261208252,41
circle_r15_v5,2.0,0.05,0.0,1,central,0.07554784691739577,-0.020623369794419588,41
circle_r15_v5,2.0,0.05,0.0,1,cubic_global,0.10802537641540934,0.0034852314763169994,41
circle_r15_v5,2.0,0.05,0.0,1,smoothing_spline,0.24271970574166182,0.025852061411143726,41
circle_r15_v5,2.0,0.05,0.0,1,savgol_w5p2,0.08305855395306129,-0.07604478025378326,41
circle_r15_v5,2.0,0.05,0.0,1,savgol_w7p3,0.058858635550986346,0.0010592781487827304,41
circle_r15_v5,2.0,0.05,0.0,1,savgol_w9p3,0.03545780477020683,-0.0003210271822783364,41
circle_r15_v5,2.0,0.05,0.0,1,savgol_w11p3,0.022460880908399053,-0.003009831639439661,41
circle_r15_v5,2.0,0.05,0.0,1,family_a_W3,0.05885863555098612,0.0010592781487804956,41
circle_r15_v5,2.0,0.05,0.0,1,family_a_W5,0.022460880908398723,-0.003009831639439919,41
circle_r15_v5,2.0,0.05,0.0,1,family_a_W7,0.02360976994993864,-0.018576663343739305,41
circle_r15_v5,2.0,0.05,0.0,1,family_a_midspan_W5,0.019544630222333662,0.015226499465241764,41
circle_r15_v5,2.0,0.05,0.0,2,forward,0.14670771744975236,0.00863077690449789,41
circle_r15_v5,2.0,0.05,0.0,2,central,0.08425469225248627,-0.014546019092845582,41
circle_r15_v5,2.0,0.05,0.0,2,cubic_global,0.1308856757589452,0.01239484104621378,41
circle_r15_v5,2.0,0.05,0.0,2,smoothing_spline,0.2436568002438796,0.028310325388098596,41
