scenario,method,fs,noise_sigma,rmse_med,rmse_iqr,bias_med,n_seeds
circle_r15_v5,family_a_midspan_W5,5.0,0.01,0.00655996558765301,0.0012656292210810579,0.00028602914251991734,10
circle_r15_v5,family_a_midspan_W5,5.0,0.05,0.03283516073145954,0.006353544243521449,0.000710766665265793,10
circle_r15_v5,family_a_midspan_W5,5.0,0.2,0.13186155847946607,0.026332652817849952,0.011415531096568034,10
circle_r15_v5,family_a_midspan_W5,10.0,0.0,2.0104014969312356e-05,1.0396747794141767e-08,2.009971501526609e-05,10
circle_r15_v5,family_a_midspan_W5,10.0,0.01,0.01316208783739592,0.001163927164981227,5.78796223668966e-05,10
circle_r15_v5,family_a_midspan_W5,10.0,0.05,0.0658141714277746,0.005394026168441715,0.002405451686105324,10
circle_r15_v5,family_a_midspan_W5,10.0,0.2,0.26554655001443495,0.01937754463774874,0.04933071098692976,10
circle_r15_v5,family_a_midspan_W5,50.0,0.0,3.210834860601087e-08,4.1491758239738575e-10,3.1906480104424434e-08,10
circle_r15_v5,family_a_midspan_W5,50.0,0.01,0.06516641120930884,0.0019362764527398602,0.0034658395444315425,10
circle_r15_v5,family_a_midspan_W5,50.0,0.05,0.3316837565562988,0.008334268399547928,0.08703627056338109,10
circle_r15_v5,family_a_midspan_W5,50.0,0.2,1.8853199648904448,0.05344359178126612,1.4325029297224001,10
circle_r15_v5,forward,2.0,0.0,0.005785027981384923,1.6808766704207168e-06,-0.005785027981384923,10
circle_r15_v5,forward,2.0,0.01,0.028178106155686784,0.0070970088823017925,-0.005486880682784958,10
circle_r15_v5,forward,2.0,0.05,0.1397290861442308,0.035957044963944806,-0.0022848278885968126,10
circle_r15_v5,forward,2.0,0.2,0.5581071144774686,0.143753673376526,0.03624939670021825,10
circle_r15_v5,forward,5.0,0.0,0.0009270017465864463,2.8112226491054486e-06,-0.000926003911867518,10
circle_r15_v5,forward,5.0,0.01,0.07167511690701572,0.0038688487066327465,-0.00011628589972438094,10
circle_r15_v5,forward,5.0,0.05,0.3586901977553684,0.019217399377719657,0.013444488845064544,10
circle_r15_v5,forward,5.0,0.2,1.4222822010272227,0.05269214055023386,0.20357372553102906,10
circle_r15_v5,forward,10.0,0.0,0.00023300382265963995,3.3130487191326916e-06,-0.00023195746605113624,10
circle_r15_v5,forward,10.0,0.01,0.1416892222269337,0.013819151715137645,0.0016129056994711333,10
circle_r15_v5,forward,10.0,0.05,0.7062224511886518,0.06489963044160041,0.048234215865662115,10
circle_r15_v5,forward,10.0,0.2,2.6577780313069557,0.17152686981816734,0.889099447333269,10
circle_r15_v5,forward,50.0,0.0,1.0782790962802524e-05,3.146536674080249e-06,-9.814978697674967e-06,10
circle_r15_v5,forward,50.0,0.01,0.9280879525409318,1.132061570023465,0.08211316234939343,10
circle_r15_v5,forward,50.0,0.05,5.120597534369499,6.845899062754782,1.9326530670456803,10
circle_r15_v5,forward,50.0,0.2,24.122929871807884,27.18732699855783,15.5148957432764,10
