ds_factor,effective_hz,noise_sigma,jitter_sigma,method,rmse,n,sequence
10,0.9992660782616223,0.2,0.02,smoothing_spline_tuned,0.22176636898013175,2144,bridge01
10,0.9992660782616223,0.2,0.02,family_a_W5,0.2060907676517393,2144,bridge01
10,0.9992660782616223,0.2,0.02,family_a_W7,0.2927651737847287,2144,bridge01
10,1.000003840014836,0.5,0.0,central,0.3794656277071966,2144,bridge01
10,1.000003840014836,0.5,0.0,savgol_w7p3,0.2842615949151319,2144,bridge01
10,1.000003840014836,0.5,0.0,smoothing_spline_default,0.4801565656885253,2144,bridge01
10,1.000003840014836,0.5,0.0,smoothing_spline_tuned,0.30035188035835575,2144,bridge01
10,1.000003840014836,0.5,0.0,family_a_W5,0.23117491624197192,2144,bridge01
10,1.000003840014836,0.5,0.0,family_a_W7,0.2974687008488282,2144,bridge01
10,1.0000974024131246,0.5,0.005,central,0.4037382411429222,2144,bridge01
10,1.0000974024131246,0.5,0.005,savgol_w7p3,0.3055420714244532,2144,bridge01
10,1.0000974024131246,0.5,0.005,smoothing_spline_default,0.49275683686543453,2144,bridge01
10,1.0000974024131246,0.5,0.005,smoothing_spline_tuned,0.29815061168079937,2144,bridge01
10,1.0000974024131246,0.5,0.005,family_a_W5,0.22594632727670128,2144,bridge01
10,1.0000974024131246,0.5,0.005,family_a_W7,0.298460035331519,2144,bridge01
10,1.0003346313665982,0.5,0.02,central,0.42576827042587323,2144,bridge01
10,1.0003346313665982,0.5,0.02,savgol_w7p3,0.28975365251638696,2144,bridge01
10,1.0003346313665982,0.5,0.02,smoothing_spline_default,0.47087238723923147,2144,bridge01
10,1.0003346313665982,0.5,0.02,smoothing_spline_tuned,0.28541387966432513,2144,bridge01
10,1.0003346313665982,0.5,0.02,family_a_W5,0.23293637704924408,2144,bridge01
10,1.0003346313665982,0.5,0.02,family_a_W7,0.29848436596875383,2144,bridge01
1,10.000102401049102,0.0,0.0,central,0.1917315860657094,10810,dcc05
1,10.000102401049102,0.0,0.0,savgol_w7p3,0.1919367821677097,10810,dcc05
1,10.000102401049102,0.0,0.0,smoothing_spline_default,0.5257313929850373,10810,dcc05
1,10.000102401049102,0.0,0.0,smoothing_spline_tuned,0.19766322155432176,10810,dcc05
1,10.000102401049102,0.0,0.0,family_a_W5,0.1874058403540731,10810,dcc05
1,10.000102401049102,0.0,0.0,family_a_W7,0.18398331617957173,10810,dcc05
1,9.998408967884702,0.0,0.005,central,0.28854600807756986,10810,dcc05
1,9.998408967884702,0.0,0.005,savgol_w7p3,0.1919683289702644,10810,dcc05
1,9.998408967884702,0.0,0.005,smoothing_spline_default,0.5248370541077905,10810,dcc05
1,9.998408967884702,0.0,0.005,smoothing_spline_tuned,0.4831200744702365,10810,dcc05
1,9.998408967884702,0.0,0.005,family_a_W5,0.20150694452609025,10810,dcc05
1,9.998408967884702,0.0,0.005,family_a_W7,0.18895422087562008,10810,dcc05
1,10.004600550315738,0.0,0.02,central,0.9471175429502733,10810,dcc05
1,10.004600550315738,0.0,0.02,savgol_w7p3,0.21815081085887794,10810,dcc05
1,10.004600550315738,0.0,0.02,smoothing_spline_default,0.5271804694453941,10810,dcc05
1,10.004600550315738,0.0,0.02,smoothing_spline_tuned,142.5748519926637,10810,dcc05
1,10.004600550315738,0.0,0.02,family_a_W5,0.3442505174029717,10810,dcc05
1,10.004600550315738,0.0,0.02,family_a_W7,0.25908284018707234,10810,dcc05
1,10.000102401049102,0.05,0.0,central,0.445856176094061,10810,dcc05
1,10.000102401049102,0.05,0.0,savgol_w7p3,0.347482382161871,10810,dcc05
1,10.000102401049102,0.05,0.0,smoothing_spline_default,0.5245601816509076,10810,dcc05
1,10.000102401049102,0.05,0.0,smoothing_spline_tuned,0.18833698190823403,10810,dcc05
1,10.000102401049102,0.05,0.0,family_a_W5,0.23362505882133802,10810,dcc05
1,10.000102401049102,0.05,0.0,family_a_W7,0.20341038340797385,10810,dcc05
1,10.000418948478186,0.05,0.005,central,0.4898121794240943,10810,dcc05
1,10.000418948478186,0.05,0.005,savgol_w7p3,0.34691396698321697,10810,dcc05
1,10.000418948478186,0.05,0.005,smoothing_spline_default,0.525442902918809,10810,dcc05
1,10.000418948478186,0.05,0.005,smoothing_spline_tuned,0.21081604172626464,10810,dcc05
1,10.000418948478186,0.05,0.005,family_a_W5,0.24394661958908814,10810,dcc05
1,10.000418948478186,0.05,0.005,family_a_W7,0.20796961815271756,10810,dcc05
1,10.026740357137436,0.05,0.02,central,1.057805067697694,10810,dcc05
1,10.026740357137436,0.05,0.02,savgol_w7p3,0.3542964221683766,10810,dcc05
1,10.026740357137436,0.05,0.02,smoothing_spline_default,0.5280353289170369,10810,dcc05
1,10.026740357137436,0.05,0.02,smoothing_spline_tuned,2.298169007678259,10810,dcc05
1,10.026740357137436,0.05,0.02,family_a_W5,0.3776152711426881,10810,dcc05
1,10.026740357137436,0.05,0.02,family_a_W7,0.272795790417278,10810,dcc05
1,10.000102401049102,0.2,0.0,central,1.6230858556049659,10810,dcc05
