ds_factor,effective_hz,noise_sigma,jitter_sigma,method,rmse,n
5,1.9997448131924427,0.0,0.005,family_a_W7,0.09250597184918828,4828
5,1.9985802925757497,0.0,0.02,central,0.12793296539578364,4828
5,1.9985802925757497,0.0,0.02,savgol_w7p3,0.04025672309241624,4828
5,1.9985802925757497,0.0,0.02,smoothing_spline_default,0.43196920740726147,4828
5,1.9985802925757497,0.0,0.02,smoothing_spline_tuned,0.22655883924989362,4828
5,1.9985802925757497,0.0,0.02,family_a_W5,0.07742621495460678,4828
5,1.9985802925757497,0.0,0.02,family_a_W7,0.09511998712595858,4828
5,1.9999969280046919,0.05,0.0,central,0.0853902915208728,4828
5,1.9999969280046919,0.05,0.0,savgol_w7p3,0.06885270856927847,4828
5,1.9999969280046919,0.05,0.0,smoothing_spline_default,0.4349644344487261,4828
5,1.9999969280046919,0.05,0.0,smoothing_spline_tuned,0.0803113765522352,4828
5,1.9999969280046919,0.05,0.0,family_a_W5,0.07016910248062286,4828
5,1.9999969280046919,0.05,0.0,family_a_W7,0.09360049496642339,4828
5,2.0001257184567667,0.05,0.005,central,0.08742814292448445,4828
5,2.0001257184567667,0.05,0.005,savgol_w7p3,0.0668304402091336,4828
5,2.0001257184567667,0.05,0.005,smoothing_spline_default,0.4267441194905752,4828
5,2.0001257184567667,0.05,0.005,smoothing_spline_tuned,0.0807096874441301,4828
5,2.0001257184567667,0.05,0.005,family_a_W5,0.07035203225743397,4828
5,2.0001257184567667,0.05,0.005,family_a_W7,0.09341054954018975,4828
5,2.0006056750185888,0.05,0.02,central,0.14289465724737274,4828
5,2.0006056750185888,0.05,0.02,savgol_w7p3,0.06875313842107832,4828
5,2.0006056750185888,0.05,0.02,smoothing_spline_default,0.42623218123771334,4828
5,2.0006056750185888,0.05,0.02,smoothing_spline_tuned,0.15764881440125522,4828
5,2.0006056750185888,0.05,0.02,family_a_W5,0.08023321919460237,4828
5,2.0006056750185888,0.05,0.02,family_a_W7,0.09641455622765709,4828
5,1.9999969280046919,0.2,0.0,central,0.31191743303579345,4828
5,1.9999969280046919,0.2,0.0,savgol_w7p3,0.2286545829936691,4828
5,1.9999969280046919,0.2,0.0,smoothing_spline_default,0.42450270525645184,4828
5,1.9999969280046919,0.2,0.0,smoothing_spline_tuned,0.1335430236769973,4828
5,1.9999969280046919,0.2,0.0,family_a_W5,0.12566734766399562,4828
5,1.9999969280046919,0.2,0.0,family_a_W7,0.11351035013356839,4828
5,2.0003189784431203,0.2,0.005,central,0.31544631396228084,4828
5,2.0003189784431203,0.2,0.005,savgol_w7p3,0.22888722584013496,4828
5,2.0003189784431203,0.2,0.005,smoothing_spline_default,0.4258774856196589,4828
5,2.0003189784431203,0.2,0.005,smoothing_spline_tuned,0.1332021212679814,4828
5,2.0003189784431203,0.2,0.005,family_a_W5,0.125661936552402,4828
5,2.0003189784431203,0.2,0.005,family_a_W7,0.11386533940160108,4828
5,2.00058531886883,0.2,0.02,central,0.33327858558798307,4828
5,2.00058531886883,0.2,0.02,savgol_w7p3,0.22604607594374887,4828
5,2.00058531886883,0.2,0.02,smoothing_spline_default,0.4290787483826036,4828
5,2.00058531886883,0.2,0.02,smoothing_spline_tuned,0.130624255061345,4828
5,2.00058531886883,0.2,0.02,family_a_W5,0.13340341782721957,4828
5,2.00058531886883,0.2,0.02,family_a_W7,0.11737478209304456,4828
5,1.9999969280046919,0.5,0.0,central,0.7722350534377692,4828
5,1.9999969280046919,0.5,0.0,savgol_w7p3,0.5597279986719069,4828
5,1.9999969280046919,0.5,0.0,smoothing_spline_default,0.4052665611969518,4828
5,1.9999969280046919,0.5,0.0,smoothing_spline_tuned,0.190742943881589,4828
5,1.9999969280046919,0.5,0.0,family_a_W5,0.2761396861803573,4828
5,1.9999969280046919,0.5,0.0,family_a_W7,0.19030898014932052,4828
5,1.999708629973739,0.5,0.005,central,0.7714261864353603,4828
5,1.999708629973739,0.5,0.005,savgol_w7p3,0.5644142499548055,4828
5,1.999708629973739,0.5,0.005,smoothing_spline_default,0.4081150219311825,4828
