ds_factor,noise_sigma,jitter_sigma,method,median,q1,q3
1,0.5,0.0,smoothing_spline_tuned,0.16553921692372026,0.15331686178012122,0.17096267855697925
1,0.5,0.005,central,3.9346642169608828,3.767702843509154,3.9787140640365664
1,0.5,0.005,family_a_W5,1.3414464830424655,1.2955519988853739,1.391653020134858
1,0.5,0.005,family_a_W7,0.8280766160307731,0.8050067941316613,0.8613142392833736
1,0.5,0.005,savgol_w7p3,2.818233137323264,2.702693414452555,2.8648579557423948
1,0.5,0.005,smoothing_spline_default,0.4682646449426101,0.4597661767088368,0.4790576143921874
1,0.5,0.005,smoothing_spline_tuned,0.16873810057499183,0.16240966166719556,0.17716755296355305
1,0.5,0.02,central,4.281933183967995,4.1780290226754335,4.3661738896122495
1,0.5,0.02,family_a_W5,1.4343713448621633,1.3680420234040096,1.4451938397147757
1,0.5,0.02,family_a_W7,0.8878588214542169,0.8447386799472734,0.8966129479144731
1,0.5,0.02,savgol_w7p3,2.8439571688620227,2.7307393560872537,2.890154548776949
1,0.5,0.02,smoothing_spline_default,0.46767894178526215,0.46141306098837653,0.47841450620458964
1,0.5,0.02,smoothing_spline_tuned,0.16913346143894536,0.15062158957012356,0.18775691727064417
2,0.0,0.0,central,0.025586590120656547,0.023868004728744018,0.045218861632720854
2,0.0,0.0,family_a_W5,0.03501043618219194,0.027669890566001012,0.0434309892993128
2,0.0,0.0,family_a_W7,0.04088295287632792,0.03408074686795684,0.05067390196267062
2,0.0,0.0,savgol_w7p3,0.028898920925103273,0.024179747412757188,0.04495120543281894
2,0.0,0.0,smoothing_spline_default,0.5109310341879758,0.5028962332854965,0.5205443222951653
2,0.0,0.0,smoothing_spline_tuned,0.036972696902839094,0.02614765941687384,0.05263883019156402
2,0.0,0.005,central,0.1358351164490549,0.08852007522591127,0.2030206910113159
2,0.0,0.005,family_a_W5,0.060271953924518,0.043501473299619765,0.08143694407705018
2,0.0,0.005,family_a_W7,0.05150276052876726,0.041452323183953234,0.06309296244934942
2,0.0,0.005,savgol_w7p3,0.02906541329922679,0.024408739670029204,0.04510084391661433
2,0.0,0.005,smoothing_spline_default,0.509798752622159,0.5022976248994603,0.5188878498952848
2,0.0,0.005,smoothing_spline_tuned,0.22911100824393582,0.16169587717958556,0.3063465209486623
2,0.0,0.02,central,0.45374028281195733,0.3598107566587176,0.6301420059554359
2,0.0,0.02,family_a_W5,0.19096134738243986,0.12523596206083742,0.23162942699268166
2,0.0,0.02,family_a_W7,0.12432437941547039,0.08365252153628645,0.17615771785844836
2,0.0,0.02,savgol_w7p3,0.03051570205664189,0.026588605237022285,0.04692150766093991
2,0.0,0.02,smoothing_spline_default,0.5086593369264323,0.5026036137169807,0.5190792718444451
2,0.0,0.02,smoothing_spline_tuned,1.0158504221286517,0.829353223468003,1.429518626965461
2,0.05,0.0,central,0.19719759546500093,0.19443736980402604,0.20693694247214575
2,0.05,0.0,family_a_W5,0.0754912895812902,0.0725924007620806,0.07659889220146641
2,0.05,0.0,family_a_W7,0.057664405288593984,0.05446080771462948,0.06383789405352833
2,0.05,0.0,savgol_w7p3,0.14467182573552806,0.141930932616896,0.1516786422568729
2,0.05,0.0,smoothing_spline_default,0.5120501128637334,0.5026625431709443,0.5162491327327502
2,0.05,0.0,smoothing_spline_tuned,0.0652385299040685,0.05929066718474539,0.07247784948419203
2,0.05,0.005,central,0.2429539198162623,0.2137984436103763,0.28431758269285007
2,0.05,0.005,family_a_W5,0.08730991870136237,0.08231364545376213,0.1040989952597187
2,0.05,0.005,family_a_W7,0.06455036950790895,0.0588892223993651,0.07445850176046494
2,0.05,0.005,savgol_w7p3,0.14284489971598874,0.14105375836292752,0.14967305400335257
2,0.05,0.005,smoothing_spline_default,0.5065662160961566,0.49371461445053333,0.5122237209665608
2,0.05,0.005,smoothing_spline_tuned,0.09064662098779214,0.06156198173930445,0.16855820642821984
2,0.05,0.02,central,0.48885739725077326,0.41610314405348314,0.672916066444583
2,0.05,0.02,family_a_W5,0.20146831378340052,0.1446708013515995,0.241656717008282
2,0.05,0.02,family_a_W7,0.13414931217454487,0.09621068282993224,0.17968798446535186
2,0.05,0.02,savgol_w7p3,0.14332456052377013,0.14173106406678246,0.15253468802242773
